pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit
16.552946,79,848,316,9089
16.643316,200,372,577,467
16.643316,84,9949,231,122
16.643316,178,9765,607,9770
16.643316,1966,7958,9443,3442
16.643316,706,3819,3311,2891
16.643316,248,272,699,299
16.763054,62,8232,151,91
16.763054,1328,9372,3614,4636
16.763054,288,2089,2187,9804
16.763054,396,875,2026,9464
16.763054,1238,2471,3562,2428
16.763054,696,6915,3980,4433
16.970562,893,8294,3137,9446
16.970562,239,1472,1225,9664
16.970562,621,2387,2670,1640
17,122,6173,280,158
17,442,2039,3090,9662
17,2202,7848,6575,2699
17,256,5883,903,5737
17,3660,7201,9389,6140
17,120,9924,262,146
17,1754,7152,5981,9122
17,142,3370,506,6626
17,626,5023,2945,2705
17,154,431,531,5123
17,444,1241,1783,636
17,502,2916,2363,2313
17.029387,639,5654,4221,9543
17.029387,1867,7288,5799,4301
17.029387,1623,5221,7884,6027
17.029387,147,7055,767,7061
17.029387,1741,6382,8548,7522
17.029387,79,82,212,176
17.029387,757,1086,2687,1084
17.029387,1605,4107,8269,8017
17.029387,73,1481,154,1484
17.029387,739,988,4011,1095
17.029387,653,5411,2834,5315
17.029387,453,3353,2010,1010
17.088007,1783,3408,5816,4616
17.088007,135,2953,474,4249
17.088007,273,6481,968,2316
17.117243,76,199,247,9959
17.117243,74,3583,166,79
17.117243,3042,5760,9969,4939
17.20465,205,965,997,432
17.20465,165,665,735,662
17.20465,83,1788,310,104
17.20465,207,251,925,261
17.20465,1591,2097,4251,3574
17.20465,45,51,111,6329
17.20465,193,5848,655,377
17.262676,443,7526,1663,7521
17.262676,501,667,1894,4571
17.262676,329,526,967,3465
17.262676,249,7806,904,2447
17.262676,321,771,1027,705
17.262676,965,3689,4499,9358
17.464249,666,9670,2289,903
17.464249,1864,7066,9278,9003
17.464249,90,9127,375,737
17.464249,42,5064,148,5070
17.464249,60,101,179,8970
17.464249,2120,9118,7982,5774
17.464249,2072,5250,7871,5581
17.464249,172,225,810,195
17.464249,138,9739,641,9775
17.464249,348,9773,1204,9893
17.464249,586,8531,3346,8994
17.464249,856,9765,2222,1562
17.492855,273,8771,1055,8804
17.492855,61,9684,234,121
17.492855,641,2967,3022,8976
17.492855,623,813,1841,9743
17.492855,1319,3031,7690,2614
17.492855,133,212,641,171
17.691807,1814,2962,4315,8256
17.691807,168,8362,376,1603
17.691807,942,1711,4298,1333
17.691807,1258,5241,3815,4048
17.691807,2754,8072,9930,7485
17.691807,402,6722,1736,2253
17.691807,356,9886,1472,6966
17.720045,639,3773,1568,3788
17.720045,1327,9297,6248,5960
17.720045,857,2151,2287,2030
17.804493,360,8129,1429,779
17.804493,998,8753,3930,1574
17.804493,1864,7863,8851,8612
17.804493,186,1206,617,1212
17.804493,94,8421,324,7528
17.804493,124,196,615,9657
17.804493,1938,3529,8608,2324
17.804493,1686,2206,8373,6622
17.804493,700,3957,2692,4245
17.888544,1961,8124,9515,2825
17.888544,559,919,1905,1010
17.888544,181,2346,778,2366
18,1981,7813,4572,2687
18,101,142,245,105
18,799,9464,3271,1983
18,181,4641,508,4573
18.027756,2904,6294,9176,8069
18.027756,1446,7807,5284,3354
18.027756,108,9841,534,9809
18.027756,372,8043,1322,759
18.027756,272,3653,1146,9895
18.027756,414,9062,1602,1664
18.027756,80,98,204,5198
18.027756,354,4556,1733,4564
18.027756,284,4889,1736,3106
18.027756,90,6817,241,6774
18.027756,314,419,624,606
18.027756,2490,7916,9348,3338
18.027756,2146,4831,7633,3363
18.027756,216,3428,578,242
18.027756,266,882,1103,283
18.027756,198,5738,794,9949
18.027756,160,571,612,9722
18.027756,80,84,278,115
18.027756,1314,3778,6686,7203
18.027756,118,309,544,9836
18.027756,170,196,544,5746
18.027756,1172,9690,4214,9639
18.110771,187,718,780,9465
18.110771,493,9599,1568,9622
18.110771,1827,2666,5156,2982
18.110771,223,4617,988,486
18.110771,163,9904,562,1254
18.110771,361,6253,1680,6306
18.110771,303,1890,1814,1719
18.248287,64,90,162,9990
18.248287,400,822,1074,858
18.248287,254,2880,850,9640
18.248287,60,308,297,9749
18.248287,218,9894,835,286
18.35756,2068,6671,9611,3583
18.35756,156,6284,580,445
18.35756,138,140,544,6510
18.35756,2720,6056,9299,4903
18.35756,490,1033,2416,1639
18.35756,584,1044,2409,2290
18.35756,1476,6086,8201,4234
18.384777,35,40,81,9988
18.384777,2309,5347,9061,3489
18.384777,833,8943,2332,9220
18.384777,2745,9314,1709,5661
18.384777,1715,4610,6135,4083
18.384777,1387,2261,4884,6165
18.384777,99,112,537,362
18.384777,903,7702,3881,1864
18.384777,147,1999,456,2054
18.384777,579,3856,2288,9821
18.384777,149,405,537,3170
18.439089,211,9970,1096,1162
18.439089,999,2844,4784,3405
18.439089,2581,4179,9031,5870
18.439089,99,9294,464,178
18.439089,2749,3392,8872,5481
18.439089,115,131,580,1125
18.439089,271,1164,1228,320
18.439089,3091,6310,9653,5209
18.439089,219,306,891,444
18.601076,319,9618,1916,404
18.601076,785,6125,3321,1260
18.601076,173,8797,762,516
18.601076,1533,3042,4366,3678
18.601076,2173,4930,8940,8609
18.601076,627,9105,2535,8321
18.681541,96,9962,452,189
18.681541,504,676,2475,9638
18.681541,126,496,382,608
18.681541,2570,8238,9087,4415
18.681541,234,261,983,264
18.788294,600,9808,3124,9794
18.788294,1458,6605,9142,8241
18.788294,806,4616,2352,5601
18.788294,2824,6088,9699,7484
18.788294,70,9979,252,211
18.867962,1659,5842,8228,6993
18.867962,1821,4551,5388,3117
18.867962,69,9992,228,9941
18.867962,71,209,292,237
18.867962,1199,1995,3046,2266
18.867962,1869,4560,5375,5307
18.867962,269,9851,1302,1617
18.867962,1875,3451,9855,6966
18.867962,135,150,468,1182
18.867962,295,7609,974,7329
18.973665,3361,5931,9248,7935
18.973665,159,8931,500,300
18.973665,161,476,643,456
18.973665,1529,3250,4295,3020
18.973665,1951,3446,5421,3629
18.973665,857,7305,3069,7323
18.973665,893,1163,3689,1081
19,1644,3028,8606,2628
19,540,1522,2327,1385
19,1522,5127,5434,2761
19.026299,1519,7141,7785,7976
19.026299,659,9754,2610,9838
19.026299,2079,7842,9396,2404
19.026299,963,3333,5449,3138
19.104973,1076,7181,6072,3265
19.104973,884,8041,4698,8606
19.104973,864,7371,2793,7127
19.104973,890,1250,4114,8447
19.104973,402,1711,2545,471
19.104973,1880,6596,6130,7451
19.104973,192,246,719,632
19.209373,2058,4427,8668,4461
